puuid,gameName,tagLine,leaderboardRank,rankedRating,numberOfWins,competitiveTier
NwK4AP1UiE6no5hc0kolHXLhs0g9XUh-6eBUnPXWOSbCNZqznIVhhN-wmpVM8Cqss41HE878qSsQ2Q,nephh,888,35,870,68,24
KNbSpORBE-yo0HZELk82p7191oV1ThuUD0rmxfstA3mWJ0vkKWqW_NAdsuH8kkE6DOXIDixOhbRTEQ,CGZ kobra,CGWIN,36,870,111,24
EWyHaclUu5jgH8kiRjqTiuU__VogyD6Hqcx8MbKv3Z0MzE4oZgMRhyV-b8p_eelE9Zn--BNbBAnBYA,Secret JcVash,1030,37,869,220,24
o4Y2-_MNCaLl76AMMRkrITSQBBWitPc_AixGuZ9SAn2fbaMWS9dLP_Ke_KfUfdISAzDRN0z5NMgKlg,BRN Hotsauz,CLTCH,38,861,69,24
HnZk1M0fz_M7_aydpA0VPj4PMu7uuAoTJVeKXvzT8xRZnHdPYwDcg6vStn29JfI7nwdEov3dp0wT5g,Endocrice,Endo,39,860,126,24
FBqoQ8IUQmW02BUfVUAg_1aWelqgSCVRsY0T1POWmT0L31y_LyM-YmwfSBthyIuOLnupjDeUrjaF8w,HABALA BABALA,Xenoo,40,857,171,24
evbNyPYDGpT4NUNi8k9CE8Z-y6O7Jk3YCMi_n7f1VrVj2oq9FORKLzAqWY9U-D7p9yLD03HPDKsmaA,NKT xZe,56449,41,856,112,24
GujVvnUUOhpP9Vss6tghAMAlGMrIXiy16NMlnZOgLWEHrdAXF6hnIC1CdQFhI5A5B7SGzKCfpSbspQ,ZQ YuicawTnT,ZZYYX,42,854,91,24
2TFCpcCg0S588f3OxxFalFGJYs4gDQ65Sd56pIfa-QEnvksSP-U_nQL-9JFdQdXt2FWgiubeyA3tfQ,シェリフください,800,43,854,109,24
eyZvJ1Fa7CO-GadJQK64xq8xt9u7y8lEmrsBr6wRKTWdCct3pUNaucbIfbib2HmjmvKKNprnMGNSAA,NCG Yanagi,STR,44,853,94,24
80lEi6hP9uOCd3gqUT3LdAVtxewcX9iIKDsQ9J4l0jyxMHRhr0wK6VYV2mm-7s2TxyGrs3cvhxuuog,VOID Xan,Karen,45,851,79,24
9nYEZVzKu5uOZjR3Ai_msM9XdVBIkn1VMWoN0DQQTM6omeRXANC88oZ-vdtZ0DTECfnDRC__dg6A4Q,JayH,hello,46,851,80,24
uR5vnoaOftsUS5SGlcfrifIQyQeI-uEChln1Zzk5qNCrTpNl_3-gttcjx7V7127u4vkvC4p-0Rc6Xg,Yoshiii,1127,47,850,110,24
o4dkRUgy0VWYlEO7taMsAfaRhEyXiKykzY5sLxjKrly5QEw32Cfx2YNfsPpL2JOt5rLPzwNNzYambw,MAD Pablo,rita,48,846,125,24
8ayczNpmvgcjYnzUQ1s8I9C5XR6-qJVBoWK2zDqyCS2biINZI3MWhP0oqlOp2nVIKgU00eT0ifs9NA,youre deadly lad,oiii,49,844,143,24
xTbdfKbrklZ8ahV5fs4gUkJdA8GAYFyZgFPOt7o8e_-1M_ndoZ2fibr626cxIb2yoVyQmcNMShBHuA,BEASTJefzzzzzzzz,JeVAS,50,843,71,24
LqgFg3RnlITi8Ia_oRCuPcJGttrcmq2LFaFbM5SSW-sqML8CAKN9inGA9cskDO4OocsKMqep7EJRvg,iCant,maybe,51,841,76,24
eXzyEYSvJjjmpMpg9-Or2DtehmNefmUSO1YddUfDznAz4fo30gBUmMpQuTEEZs5cEOOjqvIbOnKrIQ,BTR Nakya,2033,52,840,114,24
_ylGzeLkxY0NZqy3pRnA0bdebK_fNtey66XxPgosusGNj957LoiFTsk4cJCwsHDUsOns4BvqnMiWMw,i love aiky,fireS,53,834,57,24
oVwYWesOssVLNCzqVeJeEfvLu4CB7XgB5lP47aAtPeZe865F-1K8u87UaaN6pif4DZOGTlL0qnYF9Q,FAV bazz,6676,54,834,186,24
ZPLpEGq-DLs1JY0ofyWVZbmbnzARWHNY_ZB0e62VmV9kipXC2R73HqWo8XxuSbEIvvaLidaTscjncQ,HB SUAVE,aphm,55,833,40,24
qNbx5b-TdK7_s01xTpjzT5C2rv7JsOtQeVH2tcvvpTKQu1bxM-250LA-Luj3k3dGbU4Uulh2JBGiQA,100T Mig,002,56,831,74,24
m55Hv3SI1BuozVjzPD_xHJswKzRcEL6zLKG92y13BpKTqLq1BlqA8KqaMVOqAq-U7o0Q_keSEz1hVg,Luvnonggrand,baby,57,831,159,24
,,,58,830,54,24
bybsqPQvaId0b_wqKkBsGCwFWLuz3fA0KZocqh_alXeQduOCRpKVwzp9ZEj3nPJC1z6NCfI0FDqplw,INF SoCoolSoDa,soda,59,828,162,24
v0r8dFQk4kn6frs1DZao-27ptr731w6lSWFd9u4tbKrR9BosunsXi410lVSbdkOgk1f6JR14TiWYOA,ORDER WRONSKI,000,60,827,92,24
ojNWWFiMsg_AGp3aZ-Gk9OEuD5y5cbrVKaAGFXqCreFOEDV-sP_FH-V10EyIQkYENfg-IIjH0zvHtQ,OF NoMan,Wazoo,61,827,150,24
Gd11muoYKf0yit9fb-YBCrZqMCT9ZPye6WeTnA8PQyBBoq_b0CR3imvsXhOfqJxN8pkPCvxri2yKoA,YUDIAM,GRMLN,62,827,100,24
c2COiiojIeaJDm6FQB0py7INxkyU2bw3LIP9yyuKslfkYKWjjFUP1YL56q0fMQNG6WcinI0zfFVLGQ,ONC NcSlasher,14045,63,826,92,24
E5gKF0LpY-0Hr2g8sWGijP-F3076pYymb0JjVbG9F0IrGziLN5A5W-0szocKU4U3V2OX1-s5nu-VqQ,BRN xavi8k,xav,64,824,54,24
_AdG6iA2FQ_gezi8aqwZ5lzBoJV2VDX3p6d9d_K6IwfMY5rfNZuYrndL1kgWHq-FvnTmtAzDczN0gw,BZE sora,vei,65,823,94,24
9-ioVAVZr5deZwbkc8CHo5R9ZtMNzVjFHH2al_iUOsIzPvVWC6dHsyZ0UFnsO_f6AHefFuZJWYSfzA,SP niffy,uwu,66,822,51,24
gSXVwaI-i-V4yYqfq7KVIi3dWDo5-0DQmQ_dtxVn7R1vSw_42SxxzYEC7Hy74N4311S6JHLpK4u_Gw,DGW Suggest,Oily,67,822,80,24
,,,68,818,43,24
,,,69,817,96,24
i_mvWd31FlGtQDGO2gIj2rVK9OLNlEx5WElpHEn7K0bZgxT40cjz5VjwvwUPqQUR1HurJCQip7ZR7A,RD FleX,2fast,70,813,96,24
wrYKwMw9WvjwBaA2uZV1X4VW91me5h0c9n5yU_02I3dU16WimFXLJ6iBRgBRaKMQ6cl1JRRg6Ebs3w,TRIDENT mazuong,iuchi,71,811,102,24
OsWDPr0u9Wm3gaAQKAqcVgM1NUZBknYpWZGPMCBdRnxr87uRUOp34EsP63vnw7aDv6EEEY42BOkU6Q,SRC gelonocap,REBEL,72,810,90,24
0PaYrDmUnjS9e_Ijpf0oug839eAoNYOUfJ-QJlwT3pvO4-aW0kAQCV-rjtC_EU01tVuUYxlkDD0H3Q,NOP iZnoGouD,Etern,73,809,122,24
o12Nhr4GKU2SUviNcxQSQYlh__VqGm3MCrY-qnCygUOZ-SuPEUamZ8CkekEXmmoTDRs6DQtfsvTWcg,47 maitee,420,74,808,105,24
824u903Hr4NfibkOneTPryp9T-CL8GySyzYUXcwFWecrwzXjSrkhE7UNfkhdGD2bA8SqMpeQ_dVA1w,SG Vici,7439,75,808,100,24
Speghf0SVOhPtjJIM2vLxRoufc0zbA-s9kUgDS7LmSzV1GgwCd6nhAWBzmwCkvkxoyDtoAiCvLlNTQ,razkiNgz,LFT,76,807,144,24
aVjIZ67lBMxObLtCq9edM1oYv7a-oK72IyDgsVuvKIY4wWGVLjnsxFss5n7iR-_RPXIUb0CFaCzgHQ,FlukeS1ck,6969,77,806,58,24
yjdmfBrxdsprxIQsilJvQDO28e9_P2YybFO_PByfq0V_dLbUQ9x71o-fARH3hVOyoRrlj0NAHF8Ytg,Klamonite,Tyaa,78,806,77,24
HBinmnd1SscX3w9qrxxkCa8yGGe7iKoHwQ5rTYy_Lll1iVX_B0gM37B3rguQM-Ps-JkD68GO1uhU-w,DeadlyWill,4real,79,802,42,24
,,,80,802,63,24
a9YGo1KRBZsJ4Yif15fSvcF2e8YM8RuQpTCeFJQoEioCLMoel3jvBvf-xYjf90mqHBYCy6bYeQ_q1w,AIM altG,gonxt,81,802,75,24
pbsnSZ-40QO_TV9MJTatPSOJYQx3of0j7zkjgR-ue7rhwhyes8VXyrnRy7k1gGJiJmRXrCKQ-alO-A,GX Vera,0109,82,801,66,24
Q6lskjGOWLNbyKIraE7IqiAPRYC1zO9MwRp_LgewmHDfyra2Pzotghew70W6IXedlGIwPL97B6b_Zg,RRQ kellyS,RRQ,83,800,85,24
J4kqVUjmKUkoHySsOhX9YpcF83CnGYUhobWljmA_lwTHkXHi3DP1wtrKf37kn6clmEubDqzgsc1iqA,NAOS zei,MINA,84,800,76,24
gBsooLTcmNKZD3CkU8Zj8tZk9Wfb_fUAYXXpDDSYArB3srp-g2r29wqIiQJOQZMQ4todRu4Xpt9ngg,CR Meiy,CRWIN,85,800,121,24
AvfFl3VGmEPb9uf5aUqEaFqjHyoT29c3L_w0as5krEZXm9JtHqSZEl52SsRFLKnqkduS8caOOidlJA,Reverie,shy,86,799,81,24
_0VEr9sqMApqO32ao3uZVleFqrauF1XqSVW2SCTYm3hk_Vukz9q1CyHLvqAM6BAbcw0wVhK9_g_hNg,WBG Smoggy,zzZ,87,798,73,24
RnE_7v_4pKEYI_Gs62jvoehD1sHOX080R9LqYzM8v8SKn96nwsbw-arDzNuckJDx7SNbe-fYSnJgqA,grumble,1111,88,798,174,24
p3mzC1zFnmStNyHzpEzg-uS7nBD-MRDxQkpxYc8il73L9Kc57LOr5uTtQdSNXMjU6-MTQcrmSrFtJQ,NTER SpringTnT,0915,89,795,47,24
VhXWIViikKhrg5-8qWZj4h93--iOyto6H93PPc7Sf__M3whZqABYUOQUxTYTE0rjxs2niCqz9tf9xw,BOBO skrawl,wow,90,792,48,24
zbeeBA_Y2EDBKz6NxQwizIQ6exa7-vG6JH8n7Q1hgZ0oFzD70ApC7B_s1O67ha1x6AudIPbiUqxaUg,X10C xcool,cool,91,790,68,24
qz3daO4bfIxLV66dEektEpDPxSKiRy9JPlvNCVoNXE1yCnI73t-YncbKT-SmdNA_kLfaaXR7XwseRA,iki,0617,92,786,51,24
dJ6qAAL2o5VW8XtcDQPu3sPbLHylemiYLaYoptvz6b0XCufjI5-LCivG31nGEvOP1cUEfs4QrcuKjw,muchas gracias,SlUUU,93,785,71,24
zqdMRhfZ4eyZxtzAYBuzrvG5d8o4U4riO8G3Ryv-ri5txNClnZcCJFMSDTkcH6tPX7JM8Cn2ZZQQ7g,ORDER rDeeW,1234,94,784,74,24
lMyX-S4FmRkqYHte84k2Cjpq4Mu7MyXFwGeGfISOFtCZGP9O0QnVGLUI2clIF0KbdP-XLWI72fVlaw,OF Kiuuuu,OF1,95,781,187,24
X9Iv5LgP1UZmiwM1RFIXJ79ekJdOg0b2Almowz9x70Zi_05YctcuirM94N5bBZj_HyUkUuKborlfBw,TRP n1ko,19111,96,779,119,24
zoZhzoiht3uUTf9zaR9Jrbx6ec607ne03jjxgr60rPRQWHOm8dM447f6ewbZJAoIitkDvQ92Rag37w,NGX Karl,00000,97,778,54,24
z2GblPyeQHF7_yqH6wJW3cQZVGUr7BN3Nlm70qn0Bivwrwewwo35T3N-WkVJF2_lQPX7zCkRvLTOdQ,APH EmmanFPS,Rya,98,775,89,24
,,,99,773,137,24
25oVtE6kSdiZ0xHm4n3LGCUZu0xYS_SN3MGyATs1zDijo3eQ6yjeOANr47Tqqhyo2x8y3FEoQPdIYg,RC NoriseN,000,100,769,63,24
3VjMujB8U1b079jKrH-Pld7wsiPvcqeoB28RHBTPVLZ6hAyBUZQIaOumZoN1w2WPAhW7vApT2jMaYQ,ONC Monyet,0605,101,767,60,24
J9kt2EgoAkp9KuXSehStbdJQR-q_Yh5LQco9xn6fhcsBXIYbjsISzP9y7Almwccv3A7g52an_PNtAA,dontcrypls,hoam,102,767,74,24
KZNr5wd9C14P07F9O_ROxKPfz4hX82CEpaNx8RyrmS6pQzZBsb6ntfNy8-ht8CnzVyPg4O1tpXn9UQ,spoofy,ukmtw,103,765,112,24
dOE8RBULZLw_juJgQSipQvUBQ2gE9u7l72NvPJ25DmNhj7UYmRtPJu1L72ASBtoU85CCD0WSWqXs4g,LFT wink,hired,104,765,82,24
yiZeTPV_BZAk2PAPiZgM4T0t_aqPfbSiz64ODVbQnFfU9s2yqLSnSMJKmIyQ3se9ZaB2O8HSiIYgWQ,KONE KnightQnQ,4321,105,764,64,24
SbooR5U_SLfSp21rg-HHdssOK9w4QZCquSMjQ3b3sNwUCIkXEtxGnSV0ydaT7Vwb-LGQYGonV66DQA,rock,0704,106,764,107,24
fnxGUeSSQOz8DlXXk3FHFOTEtvSfXA1ogdHW7ljoovFqMP0YDKqytuRVrwKCclht5LEQ9DQwM9utrg,y2k,dumin,107,763,147,24
1jCdK-dGCsg24xU8UJ8kW8wah9bo7mFEYNjBbk0UxI95PaPeqdEhg-SM36S3yWHY1LPUxadMapSMRA,BOBO Nozz,VCT,108,762,87,24
ssJkfwFlON2PggUWpVv3OhVs0Ly2RYc2HxzY_lVk_WvINXRmPZ7tDMTlVdWy-b1z1ZDm-e-L7BgcFw,OMG HABITS,Hang,109,761,55,24
g4Zu1exzvyViPN5vZ9pKZX1_V5Udu-dqjSBxNfekXROrMYiHuT0KwgN2GQJt4NTV0gsmeM0AWSTlWg,NGX ZesBeeW,666,110,760,60,24
hjV_TWHkL8HyN_y8RKzTXq4tznhhVHd8DW0vR023XmnUsoRq_-AQ6PlOP0tEjPgUz3Bu-3WqcXEQBg,RRQ 2GE,RRQ,111,760,102,24
gl4jw-ts4QQax0nnhEzAwynIb8Ax1IfB-uqO5xXI6GAIgTq182v0c8l3_T7CHmCFWt20-UPT-CENQg,FW Apinya,nti,112,759,43,24
WFurLlEye8s8dpPusVoIb-5b_PuQW6SvQxibKsbSzN2MqP6tGfuHM58USH0JEUcWcexJ1REGhSKjEQ,BRN JoshS,KADQ,113,759,110,24
Iwj1zXGXzjzuB91RFJRbvsxhyTzJDrz-jKl_BpDpbLAM18Q_CB5QgY6rhjzIPhgM1WAKBv0Az6qKmg,kappanella장미,민들레,114,758,125,24
O9Ueu70LBN_U1O54uupg6xmcPf3qaJg5Wi5IdAWpbG-gYiEZFNjkvDdktsTdQ6gaQQesnn7aKWjKZg,alvyn,ABP,115,758,245,24
lYWFQOA1d1cbtgbCDjDg3_IsuMw9iJyYk7OIpFwGxDai27ETKkR3a90VRdIfhQMTxo6NdThLntD1hg,KONE Ninebody,21104,116,753,50,24
GTgob-ixo4a7XzyLSRE2UfRe4hHV0l5AYNtxvojQq8dJtz0RTulYMOnPc5bLnrRiIIxaE8KSmTjQEA,zoon,IWNL,117,749,80,24
