puuid,gameName,tagLine,leaderboardRank,rankedRating,numberOfWins,competitiveTier
9wZxnG2B4oV0hUXriwicdiUrgbWxTdzS9pXjihUj75pFeGAaeOcmy5902fSTDcXVHxtqOxZ_A7BNUg,ICON jtxue,hyl,158,716,172,24
cDzLJpUMiBVMsqL4LyelSGHbEWRIC7GRPE5-0mIbaidQ-pfQ5g6GipiqYHhmwG8XEXtB6I0XCNK6Bw,GFN XII,777,159,715,145,24
qDiaiU8COO9P7eKqP28azq_c7mECj3gG2JNDaViGCeMG5OMB0t7uKrcUznaubBOVfiUowWc8EpbYSw,XIA Surf,0505,160,714,76,24
,,,161,714,100,24
,,,162,713,46,24
WyvH-7UKRLzZIlCioRt8EXsMQkF9HLa2BIAugIzAF9CIaVi_enWVlcfBIsNyzJjeGSNOblAP-kVPcw,NXPE Sheeshable,Maria,163,713,75,24
z_q41Zi3tW0A3I8HG7xTkpwcv5SiCx3vM7fD2wEuSQjs5KH2-ELY5j4euF0ZpAACoQkST4ZEkObV7Q,BeomJun,LFT,164,712,144,24
pOvRHqtwImOvzKnMxi2M6DzP_697m9eGigHN4WiaJCT7PVDUA4lPz0QHs2Nc5Myu_CyFOA7Hu4Ai8g,ZLS senyorcarL,kyums,165,711,84,24
wM8J8ZZ4PT8mzQztVt4NVRNn57PeRXTWQdwpyAU3QV7TPXQQzCbcJfd6X9KLIztqSmtyHswnyObkxg,muangthaii,tung,166,711,139,24
EB0bf2cm4H5i_ANjRx-4u7luWkCaO82Nbu41Y59u4-iov7pEN4bhGREa8xupYZvQJ-ndWDSROqv3XA,BME fl1pzjder,khb,167,710,55,24
bhskYRoYyRYgNKxlfVFknY2WXzeM7TOtWCFvr7ueS9m1BhSKRc3sKiGOWgV_KaQ0OznoS8xqydZ4xQ,K7 Yoyo,K7WIN,168,710,128,24
H1U-Mq3a3cDUI5yj3ssueWY4PCJtHU-b3jP2tsk_ELVL41arYE49RccZTtu-TDgx_p5LfJDDn_1MfA,NKT Raigard,1243,169,709,176,24
,,,170,709,146,24
PvfzRsnrybDU1geDJ_XJHX7NrKYCxjeHpTnGvArmNi4WkrNht1kFlcCVEv_SGPvq5NaFBnjCt5QCoQ,TLN markL,TALON,171,709,107,24
jIU-3R-FflnDmis8EmkFE46EovnPMZFfTcUhUlAs1U4EeHhQ8OHIWXsPCnovvkviEXkNm12VqNXnBg,XIA foxz,hello,172,708,44,24
UQ0FAE6vUNPJu0icejag0DDvXUzH3ZOOfZeReVf6AHDNUf3EEiieAAoYekBvMvaVH_q-dbxYzyYASA,ZETA hiroronn,sann,173,707,42,24
,,,174,705,61,24
RtgTbfwdKnMf2XzY9EVrPfZNr2Pzp-0U6509CvQGRu1KpAYv_BYliJsBo1s58mSjfhL1VIOFzOX7Sg,drus,1218,175,705,64,24
4Qn9b2oiYR7cv7pnkcECIdOYEm89ig6Owik8rS575rQsPJnFUrFQvz2hE-dGxwCnS511I4w15LL4JQ,Mr Dumbside,cry,176,703,80,24
,,,177,703,83,24
IxUeQDaWTqlLkWtDWkBMfkneWQUL6TxmWLwwGxV0CBrODhgIdy5pBoeS-hYE3ReQo2bwObbhco2R_Q,umaruchansカワイイ,umaru,178,703,91,24
Q-6nSoBxCQ62-h-dt9ZD7TPxyNqd9uQI8FAeVxO7hSCsFxszZs_QhQo8DU4OvmhHno1Y2pR2ff1tnA,f1ssion,CLB,179,703,166,24
tTHF4ADGFwVrZyl4GRfIo5ayc6z7uHl0DF9wpfACY8HFyNRkT9P5Q9DeHnSwtaMTDQ2j-WM0eA7FwA,SimoNNeo,LFT,180,702,135,24
oZc_wpRZb43BMTT3JXVjamoBLyOFfGU6JaCKRe5OTA4XTytLJzxmHPDTrr6SxUvqQUKp_6x6V9PmYw,BB Jemkin,1351,181,702,49,24
p_mOw3qhrFlY9m0EVzJ-j3Gx1GH5SoslHxpjva6EzGhNUZLipOpGLU65pvHFkt8EIeOLXgzK0zAZQg,MET Daddie,STRNS,182,702,78,24
dhcuUrfbU66IFsjI0jm51K0E3lOetzbBo5LG1wBFLpaksvftEMHFOPMkGr5n-dimbGUEJMdQsOIz_A,OOW YOU,OOW,183,701,82,24
fRHzXusis6DaeKJ-ggsa_g6EFMOnnfVX3en6dgQoh5Mn3VaoXHOKNunLDeZfbpOAaoRqPYMFInGYLw,SEXY M1KE,Deys,184,700,171,24
jLDSq-OdHVaNV6ShNfeZSFyzPvctEHLQCaHaexhW-gRq2HamD_G2fbjQpyBZXFVXSHBUDG1MBBJyrQ,GON,TUYOI,185,700,92,24
pD7ETiBgDokBWIT5-FaK1HUQp-T7cWTnTcUo-WcTstDIbQr8Ap-g6RDVUDZ9Y5uWNJWl8XYA1hyopg,47 Siraphop,wasd,186,699,89,24
,,,187,699,253,24
QS6up9AlJn4WC2kF0ZEtKzcRS3FP4QVpmo2yDQ-9wnnVGVt-eBW5SYhLtMu9lr29d92xBnOL-PmkoQ,NGX Yohann,72721,188,699,124,24
kbt99pdn-oZonVMZizlQX2n8DtGEX4xvLks-ti5wEKEkbd4GN9X-hYjmzXEvPcm25BDMJVggJSUWxw,47 PKHI,GOD,189,699,80,24
a1hzin_uu6tag5OGf0IuyvbC6VOfzYLz41w_HX0pljY3-u1HTGv2gJtkltwth-5ugO_Mez_P8HZheA,OnigiRi,slash,190,699,86,24
sDu9WX4cCcV_RLhv5aze4pAxr4sZplMo_5okZ_bjQQRsAwGHVbgpNqV2kA4s_CUEFOJ__bP23pE-mQ,APH theDoctorr,0000,191,698,192,24
ami6bSoOBw5fAeC6o9giUuG3tqssw73JJduhWUKFHLrc2YLc6QNguk8zgUGCzuYuVy8ZIiboVi8YsA,SNH jazper,17yo,192,698,126,24
EVDKDMGfb_-zzrtpeQKOe-dNgcFYN0ZyF-NdOaO1Rx_GyUoNI-Ny60ogW89YcO6Y4xnrR7dXQdZhOw,GFN Fung3,GFN,193,696,74,24
vqof9b8tEn6gdhIzQbjUxJ5VDiY7jcGq5jIMHuT0c_zLBqtn5g3zVLBL5AieAqtlaSsvxIoUDtJg4g,JdFaker,FOK,194,696,66,24
kFC66lSCKP3dG-RfUK3p38Wj__b3yoLcIxnb2fMw8M3Bs4H55UgbZlloCroC_3t_5GZvDQGWjq03iQ,wisa,NSF,195,696,107,24
iUtc36l77COU-u4J0Tk_ZuvRpe4sJyeKsjkXRjmxltzsnoPm3FLoE9FHLJ7GPWlRFll1suZs07efjw,GX Shun,help,196,695,83,24
PELN-9tGPh89iChxNEqiDqeqZAtcAy-uAmTkUSIPBs-4IBYAwbYAQ_VKWDutiC6R8RUE2bqmyqDK_g,NCG Maxeee,STR,197,692,115,24
,,,198,692,103,24
gqxZkILzPdHzYI_kzEQYJwFpWhwJTgCmhuYi-_MxwPdhmRX9IwogUpDzMCz2l9Uq7LEgjY7dVgKNJA,APH ABATMAN,KLBN7,199,691,98,24
84qTYxQeDWqXFvKj1UcgKzkUkc5wZdH0ihYkKFklIYBUi4j3qhHwPeZauqo8KZ0hW50ZQqkB_g-5aQ,TLN Gnaru,TALON,200,691,106,24
